æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
pul:pool;pu:poo,l:l;~u~1,~
puləŋk:poulenc;pu:pou,lə:le,ŋk:nc;~u~ə~1,~
puzəʊ:puzo;pu:pu,zəʊ:zo;~u~əʊ~
puɹ:poor;pu:poo,ɹ:r;~u~1,~
pyeɹɪəd:period;pye:pe,ɹɪ:ri,ə:o,d:d;~e~ɪ~ə~1,~
pyupəl:pupil;pyu:pu,pə:pi,l:l;~u~ə~1,~
pyuz:pugh's;pyu:pu,z:gh's;~u~1,~
pyʊə:pure;pyʊ:pu,ə:re;~ʊ~ə~
pɪænəʊ:piano;pɪ:pi,æ:a,nəʊ:no;~ɪ~æ~əʊ~
pəkyulyəɹ:peculiar;pə:pe,kyu:cu,lyə:lia,ɹ:r;~ə~u~ə~1,~
pəlaɪt:polite;pə:po,laɪ:li,t:te;~ə~aɪ~1,~
pəlis:police;pə:po,li:li,s:ce;~ə~i~2,~
pəloʊmə:paloma;pə:pa,loʊ:lo,mə:ma;~ə~oʊ~ə~
pəlɪtəkəl:political;pə:po,lɪ:li,tə:ti,kə:ca,l:l;~ə~ɪ~ə~ə~1,~
pəlɪtɪkəlɪ:politically;pə:po,lɪ:li,tɪ:ti,kə:ca,lɪ:lly;~ə~ɪ~ɪ~ə~ɪ~
pəteɪtoʊ:potato;pə:po,teɪ:ta,toʊ:to;~ə~eɪ~oʊ~
pətɛnʃəl:potential;pə:po,tɛ:te,nʃə:ntia,l:l;~ə~ɛ~ə~1,~
pətɛnʃəlz:potentials;pə:po,tɛ:te,nʃə:ntia,lz:ls;~ə~ɛ~ə~1,~
pəzɛs:possess;pə:po,zɛ:sse,s:ss;~ə~ɛ~1,~
pəzɛsəɹ:possessor;pə:po,zɛ:sse,sə:sso,ɹ:r;~ə~ɛ~ə~1,~
pəzɪʃən:position;pə:po,zɪ:si,ʃə:tio,n:n;~ə~ɪ~ə~2,~
pəzɛʃən:possession;pə:po,zɛ:sse,ʃə:ssio,n:n;~ə~ɛ~ə~1,~
pəɹditə:perdita;pə:pe,ɹdi:rdi,tə:ta;~ə~i~ə~
pəɹfɛkt:perfect;pə:pe,ɹfɛ:rfe,kt:ct;~ə~ɛ~1,~
pəɹfɛkʃən:perfection;pə:pe,ɹfɛ:rfe,kʃə:ctio,n:n;~ə~ɛ~ə~1,~
pəɹfɔɹm:perform;pə:pe,ɹfɔ:rfo,ɹm:rm;~ə~ɔ~1,~
pəɹfɔɹmə:performa;pə:pe,ɹfɔ:rfo,ɹmə:rma;~ə~ɔ~ə~
pəɹfɔɹməns:performance;pə:pe,ɹfɔ:rfo,ɹmə:rma,ns:nce;~ə~ɔ~ə~2,~
pɜɹfɔɹməɹ:performer;pɜ:pe,ɹfɔ:rfo,ɹmə:rme,ɹ:r;~ɜ~ɔ~ə~1,~
pəɹhæps:perhaps;pə:pe,ɹhæ:rha,ps:ps;~ə~æ~1,~
pəɹmɪt:permit;pə:pe,ɹmɪ:rmi,t:t;~ə~ɪ~1,~
pəɹmɪʃən:permission;pə:pe,ɹmɪ:rmi,ʃə:ssio,n:n;~ə~ɪ~ə~1,~
pəɹsweɪd:persuade;pə:pe,ɹsweɪ:rsua,d:de;~ə~eɪ~1,~
pəɹsweɪʒən:persuasion;pə:pe,ɹsweɪ:rsua,ʒə:sio,n:n;~ə~eɪ~ə~1,~
pəɹsɛnt:percent;pə:pe,ɹsɛ:rce,nt:nt;~ə~ɛ~1,~
pəɹtɪkyʊləɹ:particular;pə:pa,ɹtɪ:rti,kyʊ:cu,lə:la,ɹ:r;~ə~ɪ~ʊ~ə~1,~
pɔ:paw;pɔ:paw;~ɔ~
pʌblɪk:public;pʌ:pu,blɪ:bli,k:c;~ʌ~ɪ~1,~
pʌblɪʃ:publish;pʌ:pu,blɪ:bli,ʃ:sh;~ʌ~ɪ~1,~
pʌblɪʃt:published;pʌ:pu,blɪ:bli,ʃt:shed;~ʌ~ɪ~2,~
pɪdʒən:pigeon;pɪ:pi,dʒə:geo,n:n;~ɪ~ə~1,~
pɪk:pick;pɪ:pi,k:ck;~ɪ~1,~
pɪktʃəɹ:picture;pɪ:pi,ktʃə:ctu,ɹ:re;~ɪ~ə~1,~
pɪktʃəɹz:pictures;pɪ:pi,ktʃə:ctu,ɹz:res;~ɪ~ə~1,~
pɪkɪ:picky;pɪ:pi,kɪ:cky;~ɪ~ɪ~
pɑkɛt:pocket;pɑ:po,kɛ:cke,t:t;~ɑ~ɛ~1,~
pʊl:pull;pʊ:pu,l:ll;~ʊ~1,~
pɑləsɪ:policy;pɑ:po,lə:li,sɪ:cy;~ɑ~ə~ɪ~
pɑlətɪks:politics;pɑ:po,lə:li,tɪ:ti,ks:cs;~ɑ~ə~ɪ~1,~
pɑlɪʃ:polish;pɑ:po,lɪ:li,ʃ:sh;~ɑ~ɪ~1,~
pɪləɹd:pillared;pɪ:pi,lə:lla,ɹd:red;~ɪ~ə~1,~
pɪləɹɪ:pillory;pɪ:pi,lə:llo,ɹɪ:ry;~ɪ~ə~ɪ~
pʌmp:pump;pʌ:pu,mp:mp;~ʌ~1,~
pɛn:pen;pɛ:pe,n:n;~ɛ~1,~
pɪn:pin;pɪ:pi,n:n;~ɪ~1,~
pɛns:pence;pɛ:pe,ns:nce;~ɛ~1,~
pɛnsəl:pencil;pɛ:pe,nsə:nci,l:l;~ɛ~ə~1,~
pɪntʃ:pinch;pɪ:pi,ntʃ:nch;~ɪ~1,~
pɛnɪ:penny;pɛ:pe,nɪ:nny;~ɛ~ɪ~
pʌnɪʃmənt:punishment;pʌ:pu,nɪ:ni,ʃ:sh,mə:me,nt:nt;~ʌ~ɪ~1,~ə~1,~
pʌnɪʃ:punish;pʌ:pu,nɪ:ni,ʃ:sh;~ʌ~ɪ~1,~
pɑpyələɹ:popular;pɑ:po,pyə:pu,lə:la,ɹ:r;~ɑ~ə~ə~1,~
pɑpyʊləɹ:popular;pɑ:po,pyʊ:pu,lə:la,ɹ:r;~ɑ~ʊ~ə~1,~
pɛpəɹ:pepper;pɛ:pe,pə:ppe,ɹ:r;~ɛ~ə~1,~
pɑsəbl:possible;pɑ:po,sə:ssi,bl:ble;~ɑ~ə~1,~
pɑsəblɪ:possibly;pɑ:po,sə:ssi,blɪ:bly;~ɑ~ə~ɪ~
pɛt:pet;pɛ:pe,t:t;~ɛ~1,~
pɑt:pot;pɑ:po,t:t;~ɑ~1,~
pʊt:put;pʊ:pu,t:t;~ʊ~1,~
pɪtɪ:pity;pɪ:pi,tɪ:ty;~ɪ~ɪ~
pʌtɪŋ:putting;pʌ:pu,tɪ:tti,ŋ:ng;~ʌ~ɪ~1,~
pɛtɹəʊl:petrol;pɛ:pe,tɹəʊ:tro,l:l;~ɛ~əʊ~1,~
pɑvəɹtɪ:poverty;pɑ:po,və:ve,ɹtɪ:rty;~ɑ~ə~ɪ~
pɔz:pause;pɔ:pau,z:se;~ɔ~1,~
pʌzl:puzzle;pʌ:pu,zl:zzle;~ʌ~2,~
pɑzətɪv:positive;pɑ:po,zə:si,tɪ:ti,v:ve;~ɑ~ə~ɪ~1,~
pɜɹ:per;pɜ:pe,ɹ:r;~ɜ~1,~
pɪɡ:pig;pɪ:pi,ɡ:g;~ɪ~1,~
pɔɹ:pour;pɔ:pou,ɹ:r;~ɔ~1,~
pʊʃ:push;pʊ:pu,ʃ:sh;~ʊ~1,~
pɛə:pair;pɛ:pai,ə:r;~ɛ~ə~
pɛəɹɛnt:parent;pɛ:pa,ə:,ɹɛ:re,nt:nt;~ɛ~ə~ɛ~1,~
pɑɹdən:pardon;pɑ:pa,ɹdə:rdo,n:n;~ɑ~ə~1,~
pɑɹk:park;pɑ:pa,ɹk:rk;~ɑ~2,~
pɪŋk:pink;pɪ:pi,ŋk:nk;~ɪ~1,~
pʌŋktʃuəl:punctual;pʌ:pu,ŋktʃu:nctu,ə:a,l:l;~ʌ~u~ə~1,~
pɜɹl:pearl;pɜ:pea,ɹl:rl;~ɜ~1,~
pɑɹləmɛnt:parliament;pɑ:pa,ɹlə:rlia,mɛ:me,nt:nt;~ɑ~ə~ɛ~1,~
pɜɹmənɛnt:permanent;pɜ:pe,ɹmə:rma,nɛ:ne,nt:nt;~ɜ~ə~ɛ~1,~
pɜɹpl:purple;pɜ:pu,ɹpl:rple;~ɜ~2,~
pɜɹpəs:purpose;pɜ:pu,ɹpə:rpo,s:se;~ɜ~ə~1,~
pɜɹs:peirce;pɜ:pei,ɹs:rce;~ɜ~1,~
pɪɡskɪnz:pigskins;pɪ:pi,ɡskɪ:gski,nz:ns;~ɪ~ɪ~1,~
pɑɹsl:parcel;pɑ:pa,ɹsl:rcel;~ɑ~1,~
pɑɹsəl:parcel;pɑ:pa,ɹsə:rce,l:l;~ɑ~ə~1,~
pɜɹsən:person;pɜ:pe,ɹsə:rso,n:n;~ɜ~ə~1,~
pɜɹsɪnəl:personal;pɜ:pe,ɹsɪ:rso,nə:na,l:l;~ɜ~ɪ~ə~1,~
pɜɹsɪvəl:percival;pɜ:pe,ɹsɪ:rci,və:va,l:l;~ɜ~ɪ~ə~1,~
pɑɹt:part;pɑ:pa,ɹt:rt;~ɑ~1,~
pɔɹt:port;pɔ:po,ɹt:rt;~ɔ~1,~
pɑɹtnəɹ:partner;pɑ:pa,ɹtnə:rtne,ɹ:r;~ɑ~ə~1,~
pɑɹts:parts;pɑ:pa,ɹts:rts;~ɑ~1,~
pɑɹtɪ:party;pɑ:pa,ɹtɪ:rty;~ɑ~ɪ~
pɑɹtəkl:particle;pɑ:pa,ɹtə:rti,kl:cle;~ɑ~ə~1,~
pɑɹtəkəl:particle;pɑ:pa,ɹtə:rti,kə:c,l:le;~ɑ~ə~ə~1,~
pɑɹtɪsɪpl:participle;pɑ:pa,ɹtɪ:rti,sɪ:ci,pl:ple;~ɑ~ɪ~ɪ~2,~
pɑɹtɪsɪplz:participles;pɑ:pa,ɹtɪ:rti,sɪ:ci,plz:ples;~ɑ~ɪ~ɪ~1,~
pɜɹtʃəs:purchase;pɜ:pu,ɹtʃə:rcha,s:se;~ɜ~ə~1,~
pɪɹəniz:pyrenees;pɪ:py,ɹə:re,ni:nee,z:s;~ɪ~ə~i~1,~
pɛɹənts:parent's;pɛ:pa,ɹə:re,nts:nt's;~ɛ~ə~1,~
pɛɹɛnts:parents;pɛ:pa,ɹɛ:re,nts:nts;~ɛ~ɛ~1,~
pɪθɪə:pythia;pɪ:py,θɪ:thi,ə:a;~ɪ~ɪ~ə~
pɪɹɪəd:period;pɪ:pe,ɹɪ:ri,ə:o,d:d;~ɪ~ɪ~ə~1,~
pɑliʊɹəθeɪn:polyurethane;pɑ:po,li:ly,ʊ:u,ɹə:re,θeɪ:tha,n:ne;~ɑ~i~ʊ~ə~eɪ~1,~
pɑlətɪʃən:politician;pɑ:po,lə:li,tɪ:ti,ʃə:cia,n:n;~ɑ~ə~ɪ~ə~1,~
pɑpyəlæɹɪtɪ:popularity;pɑ:po,pyə:pu,læ:la,ɹɪ:ri,tɪ:ty;~ɑ~ə~æ~ɪ~ɪ~
pɑpyəleɪʃən:population;pɑ:po,pyə:pu,leɪ:la,ʃə:tio,n:n;~ɑ~ə~eɪ~ə~1,~
pɑsəbɪləti:possibility;pɑ:po,sə:ssi,bɪ:bi,lə:li,ti:ty;~ɑ~ə~ɪ~ə~i~
pɑɹtɪkyʊləɹlɪ:particularly;pɑ:pa,ɹtɪ:rti,kyʊ:cu,lə:la,ɹlɪ:rly;~ɑ~ɪ~ʊ~ə~ɪ~
pɹæktɪkəl:practical;pɹæ:pra,ktɪ:cti,kə:ca,l:l;~æ~ɪ~ə~1,~
pɹæktɪs:practice;pɹæ:pra,ktɪ:cti,s:ce;~æ~ɪ~2,~
pɹæktɪst:practiced;pɹæ:pra,ktɪ:cti,st:ced;~æ~ɪ~1,~
pɹæktɪsɪŋ:practicing;pɹæ:pra,ktɪ:cti,sɪ:ci,ŋ:ng;~æ~ɪ~ɪ~1,~
pɹaɪ:pry;pɹaɪ:pry;~aɪ~
pɹaɪd:pride;pɹaɪ:pri,d:de;~aɪ~1,~
pɹaʊd:proud;pɹaʊ:prou,d:d;~aʊ~1,~
pɹaɪmɛɹɪ:primary;pɹaɪ:pri,mɛ:ma,ɹɪ:ry;~aɪ~ɛ~ɪ~
pɹaɪs:price;pɹaɪ:pri,s:ce;~aɪ~2,~
pɹaɪvət:private;pɹaɪ:pri,və:va,t:te;~aɪ~ə~2,~
pɹaɪz:prize;pɹaɪ:pri,z:ze;~aɪ~1,~
pɹeɪ:pray;pɹeɪ:pray;~eɪ~
pɹeɪz:praise;pɹeɪ:prai,z:se;~eɪ~1,~
pɹist:priest;pɹi:prie,st:st;~i~1,~
pɹitʃ:preach;pɹi:prea,tʃ:ch;~i~1,~
pɹivɪəs:previous;pɹi:pre,vɪ:vi,ə:ou,s:s;~i~ɪ~ə~2,~
pɹoʊtɪeɪz:protease;pɹoʊ:pro,tɪ:te,eɪ:a,z:se;~oʊ~ɪ~eɪ~1,~
pɹoʊtɛstəɹ:protester;pɹoʊ:pro,tɛ:te,stə:ste,ɹ:r;~oʊ~ɛ~ə~1,~
pɹoʊɡɹæm:program;pɹoʊ:pro,ɡɹæ:gra,m:m;~oʊ~æ~1,~
pɹoʊɡɹæmz:programs;pɹoʊ:pro,ɡɹæ:gra,mz:ms;~oʊ~æ~2,~
pɹuf:proof;pɹu:proo,f:f;~u~1,~
pɹuv:prove;pɹu:pro,v:ve;~u~1,~
pɹuəɹ:pruer;pɹu:pru,ə:e,ɹ:r;~u~ə~1,~
pɹədus:produce;pɹə:pro,du:du,s:ce;~ə~u~1,~
pɹɪdɪks:predicts;pɹɪ:pre,dɪ:di,ks:cts;~ɪ~ɪ~1,~
pɹədʌkʃən:production;pɹə:pro,dʌ:du,kʃə:ctio,n:n;~ə~ʌ~ə~2,~
pɹəfɛsəɹ:professor;pɹə:pro,fɛ:fe,sə:sso,ɹ:r;~ə~ɛ~ə~1,~
pɹəfɛsəɹʃɪp:professorship;pɹə:pro,fɛ:fe,sə:sso,ɹʃɪ:rshi,p:p;~ə~ɛ~ə~ɪ~1,~
pɹəfɜɹ:prefer;pɹə:pre,fɜ:fe,ɹ:r;~ə~ɜ~1,~
pɹəfɛʃən:profession;pɹə:pro,fɛ:fe,ʃə:ssio,n:n;~ə~ɛ~ə~1,~
pɹəfɛʃənəl:professional;pɹə:pro,fɛ:fe,ʃə:ssio,nə:na,l:l;~ə~ɛ~ə~ə~2,~
pɹəmoʊt:promote;pɹə:pro,moʊ:mo,t:te;~ə~oʊ~1,~
pɹəmoʊtɪŋ:promoting;pɹə:pro,moʊ:mo,tɪ:ti,ŋ:ng;~ə~oʊ~ɪ~1,~
pɹənaʊns:pronounce;pɹə:pro,naʊ:nou,ns:nce;~ə~aʊ~1,~
pɹəpoʊz:propose;pɹə:pro,poʊ:po,z:se;~ə~oʊ~1,~
pɹəpoʊzəl:proposal;pɹə:pro,poʊ:po,zə:sa,l:l;~ə~oʊ~ə~1,~
pɹɪpɛə:prepare;pɹɪ:pre,pɛ:pa,ə:re;~ɪ~ɛ~ə~
pɹɪsaɪs:precise;pɹɪ:pre,saɪ:ci,s:se;~ɪ~aɪ~1,~
pɹəsidz:proceeds;pɹə:pro,si:cee,dz:ds;~ə~i~1,~
pəʊstpoʊn:postpone;pəʊ:po,st:st,poʊ:po,n:ne;~əʊ~1,~oʊ~1,~
pɹəsɛʃən:procession;pɹə:pro,sɛ:ce,ʃə:ssio,n:n;~ə~ɛ~ə~1,~
pɹətɛkt:protect;pɹə:pro,tɛ:te,kt:ct;~ə~ɛ~1,~
pɹətɛktɪv:protective;pɹə:pro,tɛ:te,ktɪ:cti,v:ve;~ə~ɛ~ɪ~1,~
pɹətɛkʃən:protection;pɹə:pro,tɛ:te,kʃə:ctio,n:n;~ə~ɛ~ə~1,~
pɹɪtɛnd:pretend;pɹɪ:pre,tɛ:te,nd:nd;~ɪ~ɛ~1,~
pɹɪtɛns:pretense;pɹɪ:pre,tɛ:te,ns:nse;~ɪ~ɛ~1,~
pɹəvaɪd:provide;pɹə:pro,vaɪ:vi,d:de;~ə~aɪ~2,~
pɹəvaɪdz:provides;pɹə:pro,vaɪ:vi,dz:des;~ə~aɪ~2,~
pɹəvaɪdəd:provided;pɹə:pro,vaɪ:vi,də:de,d:d;~ə~aɪ~ə~2,~
pɹəvaɪdɪŋ:providing;pɹə:pro,vaɪ:vi,dɪ:di,ŋ:ng;~ə~aɪ~ɪ~2,~
pɹɪvɛnt:prevent;pɹɪ:pre,vɛ:ve,nt:nt;~ɪ~ɛ~1,~
pɹɪvɛntɪŋ:preventing;pɹɪ:pre,vɛ:ve,ntɪ:nti,ŋ:ng;~ɪ~ɛ~ɪ~1,~
pɹɪvɛnʃən:prevention;pɹɪ:pre,vɛ:ve,nʃə:ntio,n:n;~ɪ~ɛ~ə~1,~
pɹəvɪʒən:provision;pɹə:pro,vɪ:vi,ʒə:sio,n:n;~ə~ɪ~ə~1,~
pɹəvɪʒənz:provisions;pɹə:pro,vɪ:vi,ʒə:sio,nz:ns;~ə~ɪ~ə~1,~
pɹəvɪʒənəl:provisional;pɹə:pro,vɪ:vi,ʒə:sio,nə:na,l:l;~ə~ɪ~ə~ə~1,~
pɹəzɜɹv:preserve;pɹə:pre,zɜ:se,ɹv:rve;~ə~ɜ~1,~
pɹɪɑkyəpaɪz:preoccupies;pɹɪ:pre,ɑ:o,kyə:ccu,paɪ:pie,z:s;~ɪ~ɑ~ə~aɪ~1,~
pɹɑbləm:problem;pɹɑ:pro,blə:ble,m:m;~ɑ~ə~1,~
pɹɑbləmz:problems;pɹɑ:pro,blə:ble,mz:ms;~ɑ~ə~1,~
pɹɑbəbl:probable;pɹɑ:pro,bə:ba,bl:ble;~ɑ~ə~1,~
pɹɑbəbli:probably;pɹɑ:pro,bə:ba,bli:bly;~ɑ~ə~i~
pɹɑdəkt:product;pɹɑ:pro,də:du,kt:ct;~ɑ~ə~1,~
pɹɑdəkts:products;pɹɑ:pro,də:du,kts:cts;~ɑ~ə~2,~
pɹɛdʒʊdɪs:prejudice;pɹɛ:pre,dʒʊ:ju,dɪ:di,s:ce;~ɛ~ʊ~ɪ~1,~
pɹɑdʒɛkt:project;pɹɑ:pro,dʒɛ:je,kt:ct;~ɑ~ɛ~1,~
pɹɑdʒɛkts:projects;pɹɑ:pro,dʒɛ:je,kts:cts;~ɑ~ɛ~1,~
pɹɑfət:profit;pɹɑ:pro,fə:fi,t:t;~ɑ~ə~1,~
pɹɛfəɹəns:preference;pɹɛ:pre,fə:fe,ɹə:re,ns:nce;~ɛ~ə~ə~1,~
pɹɪklɪ:prickly;pɹɪ:pri,k:ck,lɪ:ly;~ɪ~1,~ɪ~
pɹɑmpt:prompt;pɹɑ:pro,mpt:mpt;~ɑ~1,~
pɹɑməs:promise;pɹɑ:pro,mə:mi,s:se;~ɑ~ə~1,~
pɹɑməst:promised;pɹɑ:pro,mə:mi,st:sed;~ɑ~ə~1,~
pɹɑməsɪŋ:promising;pɹɑ:pro,mə:mi,sɪ:si,ŋ:ng;~ɑ~ə~ɪ~1,~
pɹɔn:praun;pɹɔ:prau,n:n;~ɔ~1,~
pɹɪns:prince;pɹɪ:pri,ns:nce;~ɪ~1,~
pɹɪnsəpl:principle;pɹɪ:pri,nsə:nci,pl:ple;~ɪ~ə~1,~
pɹɪnsɪz:prince's;pɹɪ:pri,nsɪ:nce,z:'s;~ɪ~ɪ~1,~
pɔɪnt:point;pɔɪ:poi,nt:nt;~ɔɪ~1,~
pɹɪnt:print;pɹɪ:pri,nt:nt;~ɪ~1,~
pɔɪnts:points;pɔɪ:poi,nts:nts;~ɔɪ~1,~
pɔɪntɪd:pointed;pɔɪ:poi,ntɪ:nte,d:d;~ɔɪ~ɪ~1,~
pɹɑpəɹ:proper;pɹɑ:pro,pə:pe,ɹ:r;~ɑ~ə~1,~
pɹɑpəɹtɪ:property;pɹɑ:pro,pə:pe,ɹtɪ:rty;~ɑ~ə~ɪ~
pɹɛs:press;pɹɛ:pre,s:ss;~ɛ~2,~
pɹɑsɛs:process;pɹɑ:pro,sɛ:ce,s:ss;~ɑ~ɛ~1,~
pɹɪtɪ:pretty;pɹɪ:pre,tɪ:tty;~ɪ~ɪ~
pɹɑtəʊ:prato;pɹɑ:pra,təʊ:to;~ɑ~əʊ~
pɹɛzɪdənt:president;pɹɛ:pre,zɪ:si,də:de,nt:nt;~ɛ~ɪ~ə~2,~
pɔɪzən:poison;pɔɪ:poi,zə:so,n:n;~ɔɪ~ə~1,~
pɹɪzən:prison;pɹɪ:pri,zə:so,n:n;~ɪ~ə~1,~
pɹɛzəns:presence;pɹɛ:pre,zə:se,ns:nce;~ɛ~ə~1,~
pɹɛzənt:present;pɹɛ:pre,zə:se,nt:nt;~ɛ~ə~1,~
pɔɪzənəs:poisonous;pɔɪ:poi,zə:so,nə:nou,s:s;~ɔɪ~ə~ə~1,~
pɹɪzənəɹ:prisoner;pɹɪ:pri,zə:so,nə:ne,ɹ:r;~ɪ~ə~ə~1,~
pɹɛə:prayer;pɹɛ:pray,ə:er;~ɛ~ə~
pɹɛʃəs:precious;pɹɛ:pre,ʃə:ciou,s:s;~ɛ~ə~1,~
pɹɛʃəɹ:pressure;pɹɛ:pre,ʃə:ssu,ɹ:re;~ɛ~ə~1,~
pɹɑɡɹɛs:progress;pɹɑ:pro,ɡɹɛ:gre,s:ss;~ɑ~ɛ~1,~
pɹɑbəbɪləti:probability;pɹɑ:pro,bə:ba,bɪ:bi,lə:li,ti:ty;~ɑ~ə~ɪ~ə~i~
pɹɑfətɪɹɪŋ:profiteering;pɹɑ:pro,fə:fi,tɪ:tee,ɹɪ:ri,ŋ:ng;~ɑ~ə~ɪ~ɪ~1,~
pɹɛpəɹeɪʃən:preparation;pɹɛ:pre,pə:pa,ɹeɪ:ra,ʃə:tio,n:n;~ɛ~ə~eɪ~ə~1,~
pɹəʊnʌnsɪeɪʃən:pronunciation;pɹəʊ:pro,nʌ:nu,nsɪ:nci,eɪ:a,ʃə:tio,n:n;~əʊ~ʌ~ɪ~eɪ~ə~2,~
sæmpiə:sampere;sæ:sa,mpi:mpe,ə:re;~æ~i~ə~
sæd:sad;sæ:sa,d:d;~æ~1,~
sædl:saddle;sæ:sa,dl:ddle;~æ~2,~
sædn:sadden;sæ:sa,dn:dden;~æ~1,~
sækɹəfaɪs:sacrifice;sæ:sa,kɹə:cri,faɪ:fi,s:ce;~æ~ə~aɪ~1,~
sæləɹɪ:salary;sæ:sa,lə:la,ɹɪ:ry;~æ~ə~ɪ~
sæmpl:sample;sæ:sa,mpl:mple;~æ~2,~
sæn:san;sæ:sa,n:n;~æ~1,~
sænd:sand;sæ:sa,nd:nd;~æ~1,~
sændəl:sandal;sæ:sa,ndə:nda,l:l;~æ~ə~1,~
sætəsfaɪ:satisfy;sæ:sa,tə:ti,sfaɪ:sfy;~æ~ə~aɪ~
sawəɹ:sour;sa:sou,wə:r;~a~ə~1,~
sæŋkʃənz:sanctions';sæ:sa,ŋkʃə:nctio,nz:ns';~æ~ə~1,~
sæɹəm:sarum;sæ:sa,ɹə:ru,m:m;~æ~ə~1,~
sætəsfæktɹɪ:satisfactory;sæ:sa,tə:ti,sfæ:sfa,ktɹɪ:ctory;~æ~ə~æ~ɪ~
sætəsfækʃən:satisfaction;sæ:sa,tə:ti,sfæ:sfa,kʃə:ctio,n:n;~æ~ə~æ~ə~2,~
saʊ:sow;saʊ:sow;~aʊ~
saɪdweɪz:sideways;saɪ:si,d:de,weɪ:way,z:s;~aɪ~1,~eɪ~1,~
saɪd:side;saɪ:si,d:de;~aɪ~1,~
saɪk:psych;saɪ:psy,k:ch;~aɪ~1,~
saɪkaɪətɹɪst:psychiatrist;saɪ:psy,kaɪ:chi,ə:a,tɹɪ:tri,st:st;~aɪ~aɪ~ə~ɪ~1,~
saɪkəl:cycle;saɪ:cy,kə:c,l:le;~aɪ~ə~1,~
saɪkəlɪst:cyclist;saɪ:cy,kə:c,lɪ:li,st:st;~aɪ~ə~ɪ~1,~
saɪləns:silence;saɪ:si,lə:le,ns:nce;~aɪ~ə~1,~
saɪlənt:silent;saɪ:si,lə:le,nt:nt;~aɪ~ə~1,~
saɪləɹ:syler;saɪ:sy,lə:le,ɹ:r;~aɪ~ə~1,~
saɪn:sign;saɪ:si,n:gn;~aɪ~1,~
saɪnd:signed;saɪ:si,nd:gned;~aɪ~1,~
saʊnd:sound;saʊ:sou,nd:nd;~aʊ~1,~
saʊndz:sounds;saʊ:sou,ndz:nds;~aʊ~1,~
saɪt:sight;saɪ:si,t:ght;~aɪ~1,~
saɪt:site;saɪ:si,t:te;~aɪ~2,~
saɪz:size;saɪ:si,z:ze;~aɪ~1,~
saʊθ:south;saʊ:sou,θ:th;~aʊ~1,~
saɪɛns:science;saɪ:sci,ɛ:e,ns:nce;~aɪ~ɛ~1,~
saɪəntɪst:scientist;saɪ:sci,ə:e,ntɪ:nti,st:st;~aɪ~ə~ɪ~1,~
saɪɛntɪsts:scientist's;saɪ:sci,ɛ:e,ntɪ:nti,sts:st's;~aɪ~ɛ~ɪ~1,~
saɪəntɪsts:scientists;saɪ:sci,ə:e,ntɪ:nti,sts:sts;~aɪ~ə~ɪ~1,~
saɪkɪætɹɪk:psychiatric;saɪ:psy,kɪ:chi,æ:a,tɹɪ:tri,k:c;~aɪ~ɪ~æ~ɪ~1,~
saɪəntɪfɪk:scientific;saɪ:sci,ə:e,ntɪ:nt,fɪ:ifi,k:c;~aɪ~ə~ɪ~ɪ~1,~
seɪ:say;seɪ:say;~eɪ~
seɪf:safe;seɪ:sa,f:fe;~eɪ~1,~
seɪftɪ:safety;seɪ:sa,ftɪ:fety;~eɪ~ɪ~
seɪk:sake;seɪ:sa,k:ke;~eɪ~1,~
seɪkɹɪd:sacred;seɪ:sa,kɹɪ:cre,d:d;~eɪ~ɪ~1,~
seɪl:sale;seɪ:sa,l:le;~eɪ~1,~
seɪl:sail;seɪ:sai,l:l;~eɪ~1,~
seɪlz:sales;seɪ:sa,lz:les;~eɪ~2,~
seɪlzmən:salesman;seɪ:sa,lzmə:lesma,n:n;~eɪ~ə~1,~
seɪləɹ:sailor;seɪ:sai,lə:lo,ɹ:r;~eɪ~ə~1,~
seɪm:same;seɪ:sa,m:me;~eɪ~2,~
seɪv:save;seɪ:sa,v:ve;~eɪ~1,~
seɪɪŋ:saying;seɪ:say,ɪ:i,ŋ:ng;~eɪ~ɪ~1,~
sfɪɹɔɪd:spheroid;sfɪ:sphe,ɹɔɪ:roi,d:d;~ɪ~ɔɪ~1,~
si:sea;si:sea;~i~
si:see;si:see;~i~
sibɛɹɪ:seaberry;si:sea,bɛ:be,ɹɪ:rry;~i~ɛ~ɪ~
sid:seed;si:see,d:d;~i~1,~
sik:seek;si:see,k:k;~i~1,~
sikɹəsɪ:secrecy;si:se,kɹə:cre,sɪ:cy;~i~ə~ɪ~
sikɹət:secret;si:se,kɹə:cre,t:t;~i~ə~1,~
siləkænθ:coelacanth;si:coe,lə:la,kæ:ca,nθ:nth;~i~ə~æ~1,~
sim:seem;si:see,m:m;~i~1,~
simz:seems;si:see,mz:ms;~i~1,~
sin:scene;si:sce,n:ne;~i~1,~
sin:seen;si:see,n:n;~i~1,~
sinəɹɪ:scenery;si:sce,nə:ne,ɹɪ:ry;~i~ə~ɪ~
sit:seat;si:sea,t:t;~i~1,~
siwʊlf:seawolf;si:sea,wʊ:wo,lf:lf;~i~ʊ~1,~
siz:seize;si:sei,z:ze;~i~1,~
sizən:season;si:sea,zə:so,n:n;~i~ə~2,~
siɪŋ:seeing;si:see,ɪ:i,ŋ:ng;~i~ɪ~1,~
