æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
pəzɛʃən:possession;p:p,əz:oss,ɛʃ:ess,ən:ion;~~ə~ɛ~ə~
pəɹditə:perdita;p:p,əɹd:erd,it:it,ə:a;~~ə~i~ə~
pəɹfɛkt:perfect;p:p,əɹf:erf,ɛkt:ect;~~ə~ɛ~
pəɹfɛkʃən:perfection;p:p,əɹf:erf,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
pəɹfɔɹm:perform;p:p,əɹf:erf,ɔɹm:orm;~~ə~ɔ~
pəɹfɔɹmə:performa;p:p,əɹf:erf,ɔɹm:orm,ə:a;~~ə~ɔ~ə~
pəɹfɔɹməns:performance;p:p,əɹf:erf,ɔɹm:orm,əns:ance;~~ə~ɔ~ə~
pɜɹfɔɹməɹ:performer;p:p,ɜɹf:erf,ɔɹm:orm,əɹ:er;~~ɜ~ɔ~ə~
pəɹhæps:perhaps;p:p,əɹh:erh,æps:aps;~~ə~æ~
pəɹmɪt:permit;p:p,əɹm:erm,ɪt:it;~~ə~ɪ~
pəɹmɪʃən:permission;p:p,əɹm:erm,ɪʃ:iss,ən:ion;~~ə~ɪ~ə~
pəɹsweɪd:persuade;p:p,əɹsw:ers,eɪd:uade;~~ə~eɪ~
pəɹsweɪʒən:persuasion;p:p,əɹsw:ers,eɪʒ:uas,ən:ion;~~ə~eɪ~ə~
pəɹsɛnt:percent;p:p,əɹs:erc,ɛnt:ent;~~ə~ɛ~
pəɹtɪkjʊləɹ:particular;p:p,əɹt:art,ɪkj:ic,ʊl:ul,əɹ:ar;~~ə~ɪ~ʊ~ə~
pɔ:paw;p:p,ɔ:aw;~~ɔ~
pʌblɪk:public;p:p,ʌbl:ubl,ɪk:ic;~~ʌ~ɪ~
pʌblɪʃ:publish;p:p,ʌbl:ubl,ɪʃ:ish;~~ʌ~ɪ~
pʌblɪʃt:published;p:p,ʌbl:ubl,ɪʃt:ished;~~ʌ~ɪ~
pɪdʒən:pigeon;p:p,ɪdʒ:ig,ən:eon;~~ɪ~ə~
pɪk:pick;p:p,ɪk:ick;~~ɪ~
pɪktʃəɹ:picture;p:p,ɪktʃ:ict,əɹ:ure;~~ɪ~ə~
pɪktʃəɹz:pictures;p:p,ɪktʃ:ict,əɹz:ures;~~ɪ~ə~
pɪkɪ:picky;p:p,ɪk:ick,ɪ:y;~~ɪ~ɪ~
pɑkɛt:pocket;p:p,ɑk:ock,ɛt:et;~~ɑ~ɛ~
pʊl:pull;p:p,ʊl:ull;~~ʊ~
pɑləsɪ:policy;p:p,ɑl:ol,əs:ic,ɪ:y;~~ɑ~ə~ɪ~
pɑlətɪks:politics;p:p,ɑl:ol,ət:it,ɪks:ics;~~ɑ~ə~ɪ~
pɑlɪʃ:polish;p:p,ɑl:ol,ɪʃ:ish;~~ɑ~ɪ~
pɪləɹd:pillared;p:p,ɪl:ill,əɹd:ared;~~ɪ~ə~
pɪləɹɪ:pillory;p:p,ɪl:ill,əɹ:or,ɪ:y;~~ɪ~ə~ɪ~
pʌmp:pump;p:p,ʌmp:ump;~~ʌ~
pɛn:pen;p:p,ɛn:en;~~ɛ~
pɪn:pin;p:p,ɪn:in;~~ɪ~
pɛns:pence;p:p,ɛns:ence;~~ɛ~
pɛnsəl:pencil;p:p,ɛns:enc,əl:il;~~ɛ~ə~
pɪntʃ:pinch;p:p,ɪntʃ:inch;~~ɪ~
pɛnɪ:penny;p:p,ɛn:enn,ɪ:y;~~ɛ~ɪ~
pʌnɪʃmənt:punishment;p:p,ʌn:un,ɪʃ:ish,m:m,ənt:ent;~~ʌ~ɪ~~ə~
pʌnɪʃ:punish;p:p,ʌn:un,ɪʃ:ish;~~ʌ~ɪ~
pɑpjələɹ:popular;p:p,ɑpj:op,əl:ul,əɹ:ar;~~ɑ~ə~ə~
pɑpjʊləɹ:popular;p:p,ɑpj:op,ʊl:ul,əɹ:ar;~~ɑ~ʊ~ə~
pɛpəɹ:pepper;p:p,ɛp:epp,əɹ:er;~~ɛ~ə~
pɑsəbl:possible;p:p,ɑs:oss,əbl:ible;~~ɑ~ə~
pɑsəblɪ:possibly;p:p,ɑs:oss,əbl:ibl,ɪ:y;~~ɑ~ə~ɪ~
pɛt:pet;p:p,ɛt:et;~~ɛ~
pɑt:pot;p:p,ɑt:ot;~~ɑ~
pʊt:put;p:p,ʊt:ut;~~ʊ~
pɪtɪ:pity;p:p,ɪt:it,ɪ:y;~~ɪ~ɪ~
pʌtɪŋ:putting;p:p,ʌt:utt,ɪŋ:ing;~~ʌ~ɪ~
pɛtɹəʊl:petrol;p:p,ɛtɹ:etr,əʊl:ol;~~ɛ~əʊ~
pɑvəɹtɪ:poverty;p:p,ɑv:ov,əɹt:ert,ɪ:y;~~ɑ~ə~ɪ~
pɔz:pause;p:p,ɔz:ause;~~ɔ~
pʌzl:puzzle;p:p,ʌzl:uzzle;~~ʌ~
pɑzətɪv:positive;p:p,ɑz:os,ət:it,ɪv:ive;~~ɑ~ə~ɪ~
pɜɹ:per;p:p,ɜɹ:er;~~ɜ~
pɪɡ:pig;p:p,ɪɡ:ig;~~ɪ~
pɔɹ:pour;p:p,ɔɹ:our;~~ɔ~
pʊʃ:push;p:p,ʊʃ:ush;~~ʊ~
pɛə:pair;p:p,ɛ:ai,ə:r;~~ɛ~ə~
pɛəɹɛnt:parent;p:p,ɛ:a,əɹ:r,ɛnt:ent;~~ɛ~ə~ɛ~
pɑɹdən:pardon;p:p,ɑɹd:ard,ən:on;~~ɑ~ə~
pɑɹk:park;p:p,ɑɹk:ark;~~ɑ~
pɪŋk:pink;p:p,ɪŋk:ink;~~ɪ~
pʌŋktʃuəl:punctual;p:p,ʌŋktʃ:unct,u:u,əl:al;~~ʌ~u~ə~
pɜɹl:pearl;p:p,ɜɹl:earl;~~ɜ~
pɑɹləmɛnt:parliament;p:p,ɑɹl:arl,əm:iam,ɛnt:ent;~~ɑ~ə~ɛ~
pɜɹmənɛnt:permanent;p:p,ɜɹm:erm,ən:an,ɛnt:ent;~~ɜ~ə~ɛ~
pɜɹpl:purple;p:p,ɜɹpl:urple;~~ɜ~
pɜɹpəs:purpose;p:p,ɜɹp:urp,əs:ose;~~ɜ~ə~
pɜɹs:peirce;p:p,ɜɹs:eirce;~~ɜ~
pɪɡskɪnz:pigskins;p:p,ɪɡsk:igsk,ɪnz:ins;~~ɪ~ɪ~
pɑɹsl:parcel;p:p,ɑɹsl:arcel;~~ɑ~
pɑɹsəl:parcel;p:p,ɑɹs:arc,əl:el;~~ɑ~ə~
pɜɹsən:person;p:p,ɜɹs:ers,ən:on;~~ɜ~ə~
pɜɹsɪnəl:personal;p:p,ɜɹs:ers,ɪn:on,əl:al;~~ɜ~ɪ~ə~
pɜɹsɪvəl:percival;p:p,ɜɹs:erc,ɪv:iv,əl:al;~~ɜ~ɪ~ə~
pɑɹt:part;p:p,ɑɹt:art;~~ɑ~
pɔɹt:port;p:p,ɔɹt:ort;~~ɔ~
pɑɹtnəɹ:partner;p:p,ɑɹtn:artn,əɹ:er;~~ɑ~ə~
pɑɹts:parts;p:p,ɑɹts:arts;~~ɑ~
pɑɹtɪ:party;p:p,ɑɹt:art,ɪ:y;~~ɑ~ɪ~
pɑɹtəkl:particle;p:p,ɑɹt:art,əkl:icle;~~ɑ~ə~
pɑɹtəkəl:particle;p:p,ɑɹt:art,ək:ic,əl:le;~~ɑ~ə~ə~
pɑɹtɪsɪpl:participle;p:p,ɑɹt:art,ɪs:ic,ɪpl:iple;~~ɑ~ɪ~ɪ~
pɑɹtɪsɪplz:participles;p:p,ɑɹt:art,ɪs:ic,ɪplz:iples;~~ɑ~ɪ~ɪ~
pɜɹtʃəs:purchase;p:p,ɜɹtʃ:urch,əs:ase;~~ɜ~ə~
pɪɹəniz:pyrenees;p:p,ɪɹ:yr,ən:en,iz:ees;~~ɪ~ə~i~
pɛɹənts:parent's;p:p,ɛɹ:a,ənts:rent's;~~ɛ~ə~
pɛɹɛnts:parents;p:p,ɛɹ:a,ɛnts:rents;~~ɛ~ɛ~
pɪθɪə:pythia;p:p,ɪθ:yth,ɪ:i,ə:a;~~ɪ~ɪ~ə~
pɪɹɪəd:period;p:p,ɪɹ:er,ɪ:i,əd:od;~~ɪ~ɪ~ə~
pɑliʊɹəθeɪn:polyurethane;p:p,ɑl:ol,i:y,ʊɹ:u,əθ:reth,eɪn:ane;~~ɑ~i~ʊ~ə~eɪ~
pɑlətɪʃən:politician;p:p,ɑl:ol,ət:it,ɪʃ:ic,ən:ian;~~ɑ~ə~ɪ~ə~
pɑpjəlæɹɪtɪ:popularity;p:p,ɑpj:op,əl:ul,æɹ:ar,ɪt:it,ɪ:y;~~ɑ~ə~æ~ɪ~ɪ~
pɑpjəleɪʃən:population;p:p,ɑpj:op,əl:ul,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
pɑsəbɪləti:possibility;p:p,ɑs:oss,əb:ib,ɪl:il,ət:it,i:y;~~ɑ~ə~ɪ~ə~i~
pɑɹtɪkjʊləɹlɪ:particularly;p:p,ɑɹt:art,ɪkj:ic,ʊl:ul,əɹl:arl,ɪ:y;~~ɑ~ɪ~ʊ~ə~ɪ~
pɹæktɪkəl:practical;pɹ:pr,ækt:act,ɪk:ic,əl:al;~~æ~ɪ~ə~
pɹæktɪs:practice;pɹ:pr,ækt:act,ɪs:ice;~~æ~ɪ~
pɹæktɪst:practiced;pɹ:pr,ækt:act,ɪst:iced;~~æ~ɪ~
pɹæktɪsɪŋ:practicing;pɹ:pr,ækt:act,ɪs:ic,ɪŋ:ing;~~æ~ɪ~ɪ~
pɹaɪ:pry;pɹ:pr,aɪ:y;~~aɪ~
pɹaɪd:pride;pɹ:pr,aɪd:ide;~~aɪ~
pɹaʊd:proud;pɹ:pr,aʊd:oud;~~aʊ~
pɹaɪmɛɹɪ:primary;pɹ:pr,aɪm:im,ɛɹ:ar,ɪ:y;~~aɪ~ɛ~ɪ~
pɹaɪs:price;pɹ:pr,aɪs:ice;~~aɪ~
pɹaɪvət:private;pɹ:pr,aɪv:iv,ət:ate;~~aɪ~ə~
pɹaɪz:prize;pɹ:pr,aɪz:ize;~~aɪ~
pɹeɪ:pray;pɹ:pr,eɪ:ay;~~eɪ~
pɹeɪz:praise;pɹ:pr,eɪz:aise;~~eɪ~
pɹist:priest;pɹ:pr,ist:iest;~~i~
pɹitʃ:preach;pɹ:pr,itʃ:each;~~i~
pɹivɪəs:previous;pɹ:pr,iv:ev,ɪ:i,əs:ous;~~i~ɪ~ə~
pɹoʊtɪeɪz:protease;pɹ:pr,oʊt:ot,ɪ:e,eɪz:ase;~~oʊ~ɪ~eɪ~
pɹoʊtɛstəɹ:protester;pɹ:pr,oʊt:ot,ɛst:est,əɹ:er;~~oʊ~ɛ~ə~
pɹoʊɡɹæm:program;pɹ:pr,oʊɡɹ:ogr,æm:am;~~oʊ~æ~
pɹoʊɡɹæmz:programs;pɹ:pr,oʊɡɹ:ogr,æmz:ams;~~oʊ~æ~
pɹuf:proof;pɹ:pr,uf:oof;~~u~
pɹuv:prove;pɹ:pr,uv:ove;~~u~
pɹuəɹ:pruer;pɹ:pr,u:u,əɹ:er;~~u~ə~
pɹədus:produce;pɹ:pr,əd:od,us:uce;~~ə~u~
pɹɪdɪks:predicts;pɹ:pr,ɪd:ed,ɪks:icts;~~ɪ~ɪ~
pɹədʌkʃən:production;pɹ:pr,əd:od,ʌkʃ:uct,ən:ion;~~ə~ʌ~ə~
pɹəfɛsəɹ:professor;pɹ:pr,əf:of,ɛs:ess,əɹ:or;~~ə~ɛ~ə~
pɹəfɛsəɹʃɪp:professorship;pɹ:pr,əf:of,ɛs:ess,əɹʃ:orsh,ɪp:ip;~~ə~ɛ~ə~ɪ~
pɹəfɜɹ:prefer;pɹ:pr,əf:ef,ɜɹ:er;~~ə~ɜ~
pɹəfɛʃən:profession;pɹ:pr,əf:of,ɛʃ:ess,ən:ion;~~ə~ɛ~ə~
pɹəfɛʃənəl:professional;pɹ:pr,əf:of,ɛʃ:ess,ən:ion,əl:al;~~ə~ɛ~ə~ə~
pɹəmoʊt:promote;pɹ:pr,əm:om,oʊt:ote;~~ə~oʊ~
pɹəmoʊtɪŋ:promoting;pɹ:pr,əm:om,oʊt:ot,ɪŋ:ing;~~ə~oʊ~ɪ~
pɹənaʊns:pronounce;pɹ:pr,ən:on,aʊns:ounce;~~ə~aʊ~
pɹəpoʊz:propose;pɹ:pr,əp:op,oʊz:ose;~~ə~oʊ~
pɹəpoʊzəl:proposal;pɹ:pr,əp:op,oʊz:os,əl:al;~~ə~oʊ~ə~
pɹɪpɛə:prepare;pɹ:pr,ɪp:ep,ɛ:a,ə:re;~~ɪ~ɛ~ə~
pɹɪsaɪs:precise;pɹ:pr,ɪs:ec,aɪs:ise;~~ɪ~aɪ~
pɹəsidz:proceeds;pɹ:pr,əs:oc,idz:eeds;~~ə~i~
pəʊstpoʊn:postpone;p:p,əʊst:ost,p:p,oʊn:one;~~əʊ~~oʊ~
pɹəsɛʃən:procession;pɹ:pr,əs:oc,ɛʃ:ess,ən:ion;~~ə~ɛ~ə~
pɹətɛkt:protect;pɹ:pr,ət:ot,ɛkt:ect;~~ə~ɛ~
pɹətɛktɪv:protective;pɹ:pr,ət:ot,ɛkt:ect,ɪv:ive;~~ə~ɛ~ɪ~
pɹətɛkʃən:protection;pɹ:pr,ət:ot,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
pɹɪtɛnd:pretend;pɹ:pr,ɪt:et,ɛnd:end;~~ɪ~ɛ~
pɹɪtɛns:pretense;pɹ:pr,ɪt:et,ɛns:ense;~~ɪ~ɛ~
pɹəvaɪd:provide;pɹ:pr,əv:ov,aɪd:ide;~~ə~aɪ~
pɹəvaɪdz:provides;pɹ:pr,əv:ov,aɪdz:ides;~~ə~aɪ~
pɹəvaɪdəd:provided;pɹ:pr,əv:ov,aɪd:id,əd:ed;~~ə~aɪ~ə~
pɹəvaɪdɪŋ:providing;pɹ:pr,əv:ov,aɪd:id,ɪŋ:ing;~~ə~aɪ~ɪ~
pɹɪvɛnt:prevent;pɹ:pr,ɪv:ev,ɛnt:ent;~~ɪ~ɛ~
pɹɪvɛntɪŋ:preventing;pɹ:pr,ɪv:ev,ɛnt:ent,ɪŋ:ing;~~ɪ~ɛ~ɪ~
pɹɪvɛnʃən:prevention;pɹ:pr,ɪv:ev,ɛnʃ:ent,ən:ion;~~ɪ~ɛ~ə~
pɹəvɪʒən:provision;pɹ:pr,əv:ov,ɪʒ:is,ən:ion;~~ə~ɪ~ə~
pɹəvɪʒənz:provisions;pɹ:pr,əv:ov,ɪʒ:is,ənz:ions;~~ə~ɪ~ə~
pɹəvɪʒənəl:provisional;pɹ:pr,əv:ov,ɪʒ:is,ən:ion,əl:al;~~ə~ɪ~ə~ə~
pɹəzɜɹv:preserve;pɹ:pr,əz:es,ɜɹv:erve;~~ə~ɜ~
pɹɪɑkjəpaɪz:preoccupies;pɹ:pre,ɪ:,ɑkj:occ,əp:up,aɪz:ies;~~ɪ~ɑ~ə~aɪ~
pɹɑbləm:problem;pɹ:pr,ɑbl:obl,əm:em;~~ɑ~ə~
pɹɑbləmz:problems;pɹ:pr,ɑbl:obl,əmz:ems;~~ɑ~ə~
pɹɑbəbl:probable;pɹ:pr,ɑb:ob,əbl:able;~~ɑ~ə~
pɹɑbəbli:probably;pɹ:pr,ɑb:ob,əbl:abl,i:y;~~ɑ~ə~i~
pɹɑdəkt:product;pɹ:pr,ɑd:od,əkt:uct;~~ɑ~ə~
pɹɑdəkts:products;pɹ:pr,ɑd:od,əkts:ucts;~~ɑ~ə~
pɹɛdʒʊdɪs:prejudice;pɹ:pr,ɛdʒ:ej,ʊd:ud,ɪs:ice;~~ɛ~ʊ~ɪ~
pɹɑdʒɛkt:project;pɹ:pr,ɑdʒ:oj,ɛkt:ect;~~ɑ~ɛ~
pɹɑdʒɛkts:projects;pɹ:pr,ɑdʒ:oj,ɛkts:ects;~~ɑ~ɛ~
pɹɑfət:profit;pɹ:pr,ɑf:of,ət:it;~~ɑ~ə~
pɹɛfəɹəns:preference;pɹ:pr,ɛf:ef,əɹ:er,əns:ence;~~ɛ~ə~ə~
pɹɪklɪ:prickly;pɹ:pr,ɪk:ick,l:l,ɪ:y;~~ɪ~~ɪ~
pɹɑmpt:prompt;pɹ:pr,ɑmpt:ompt;~~ɑ~
pɹɑməs:promise;pɹ:pr,ɑm:om,əs:ise;~~ɑ~ə~
pɹɑməst:promised;pɹ:pr,ɑm:om,əst:ised;~~ɑ~ə~
pɹɑməsɪŋ:promising;pɹ:pr,ɑm:om,əs:is,ɪŋ:ing;~~ɑ~ə~ɪ~
pɹɔn:praun;pɹ:pr,ɔn:aun;~~ɔ~
pɹɪns:prince;pɹ:pr,ɪns:ince;~~ɪ~
pɹɪnsəpl:principle;pɹ:pr,ɪns:inc,əpl:iple;~~ɪ~ə~
pɹɪnsɪz:prince's;pɹ:pr,ɪns:inc,ɪz:e's;~~ɪ~ɪ~
pɔɪnt:point;p:p,ɔɪnt:oint;~~ɔɪ~
pɹɪnt:print;pɹ:pr,ɪnt:int;~~ɪ~
pɔɪnts:points;p:p,ɔɪnts:oints;~~ɔɪ~
pɔɪntɪd:pointed;p:p,ɔɪnt:oint,ɪd:ed;~~ɔɪ~ɪ~
pɹɑpəɹ:proper;pɹ:pr,ɑp:op,əɹ:er;~~ɑ~ə~
pɹɑpəɹtɪ:property;pɹ:pr,ɑp:op,əɹt:ert,ɪ:y;~~ɑ~ə~ɪ~
pɹɛs:press;pɹ:pr,ɛs:ess;~~ɛ~
pɹɑsɛs:process;pɹ:pr,ɑs:oc,ɛs:ess;~~ɑ~ɛ~
pɹɪtɪ:pretty;pɹ:pr,ɪt:ett,ɪ:y;~~ɪ~ɪ~
pɹɑtəʊ:prato;pɹ:pr,ɑt:at,əʊ:o;~~ɑ~əʊ~
pɹɛzɪdənt:president;pɹ:pr,ɛz:es,ɪd:id,ənt:ent;~~ɛ~ɪ~ə~
pɔɪzən:poison;p:p,ɔɪz:ois,ən:on;~~ɔɪ~ə~
pɹɪzən:prison;pɹ:pr,ɪz:is,ən:on;~~ɪ~ə~
pɹɛzəns:presence;pɹ:pr,ɛz:es,əns:ence;~~ɛ~ə~
pɹɛzənt:present;pɹ:pr,ɛz:es,ənt:ent;~~ɛ~ə~
pɔɪzənəs:poisonous;p:p,ɔɪz:ois,ən:on,əs:ous;~~ɔɪ~ə~ə~
pɹɪzənəɹ:prisoner;pɹ:pr,ɪz:is,ən:on,əɹ:er;~~ɪ~ə~ə~
pɹɛə:prayer;pɹ:pr,ɛ:ayer;~~ɛ~ə~
pɹɛʃəs:precious;pɹ:pr,ɛʃ:ec,əs:ious;~~ɛ~ə~
pɹɛʃəɹ:pressure;pɹ:pr,ɛʃ:ess,əɹ:ure;~~ɛ~ə~
pɹɑɡɹɛs:progress;pɹ:pr,ɑɡɹ:ogr,ɛs:ess;~~ɑ~ɛ~
pɹɑbəbɪləti:probability;pɹ:pr,ɑb:ob,əb:ab,ɪl:il,ət:it,i:y;~~ɑ~ə~ɪ~ə~i~
pɹɑfətɪɹɪŋ:profiteering;pɹ:pr,ɑf:of,ət:it,ɪɹ:eer,ɪŋ:ing;~~ɑ~ə~ɪ~ɪ~
pɹɛpəɹeɪʃən:preparation;pɹ:pr,ɛp:ep,əɹ:ar,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
pɹəʊnʌnsɪeɪʃən:pronunciation;pɹ:pr,əʊn:on,ʌns:unc,ɪ:i,eɪʃ:at,ən:ion;~~əʊ~ʌ~ɪ~eɪ~ə~
sæmpiə:sampere;s:s,æmp:amp,i:er,ə:e;~~æ~i~ə~
sæd:sad;s:s,æd:ad;~~æ~
sædl:saddle;s:s,ædl:addle;~~æ~
sædn:sadden;s:s,ædn:adden;~~æ~
sækɹəfaɪs:sacrifice;s:s,ækɹ:acr,əf:if,aɪs:ice;~~æ~ə~aɪ~
sæləɹɪ:salary;s:s,æl:al,əɹ:ar,ɪ:y;~~æ~ə~ɪ~
sæmpl:sample;s:s,æmpl:ample;~~æ~
sæn:san;s:s,æn:an;~~æ~
sænd:sand;s:s,ænd:and;~~æ~
sændəl:sandal;s:s,ænd:and,əl:al;~~æ~ə~
sætəsfaɪ:satisfy;s:s,æt:at,əsf:isf,aɪ:y;~~æ~ə~aɪ~
sawəɹ:sour;s:s,aw:ou,əɹ:r;~~a~ə~
sæŋkʃənz:sanctions';s:s,æŋkʃ:anct,ənz:ions';~~æ~ə~
sæɹəm:sarum;s:s,æɹ:ar,əm:um;~~æ~ə~
sætəsfæktɹɪ:satisfactory;s:s,æt:at,əsf:isf,æktɹ:actor,ɪ:y;~~æ~ə~æ~ɪ~
sætəsfækʃən:satisfaction;s:s,æt:at,əsf:isf,ækʃ:act,ən:ion;~~æ~ə~æ~ə~
saʊ:sow;s:s,aʊ:ow;~~aʊ~
saɪdweɪz:sideways;s:s,aɪd:ide,w:w,eɪz:ays;~~aɪ~~eɪ~
saɪd:side;s:s,aɪd:ide;~~aɪ~
saɪk:psych;s:ps,aɪk:ych;~~aɪ~
saɪkaɪətɹɪst:psychiatrist;s:ps,aɪk:ych,aɪ:i,ətɹ:atr,ɪst:ist;~~aɪ~aɪ~ə~ɪ~
saɪkəl:cycle;s:c,aɪk:yc,əl:le;~~aɪ~ə~
saɪkəlɪst:cyclist;s:c,aɪk:yc,əl:l,ɪst:ist;~~aɪ~ə~ɪ~
saɪləns:silence;s:s,aɪl:il,əns:ence;~~aɪ~ə~
saɪlənt:silent;s:s,aɪl:il,ənt:ent;~~aɪ~ə~
saɪləɹ:syler;s:s,aɪl:yl,əɹ:er;~~aɪ~ə~
saɪn:sign;s:s,aɪn:ign;~~aɪ~
saɪnd:signed;s:s,aɪnd:igned;~~aɪ~
saʊnd:sound;s:s,aʊnd:ound;~~aʊ~
saʊndz:sounds;s:s,aʊndz:ounds;~~aʊ~
saɪt:sight;s:s,aɪt:ight;~~aɪ~
saɪt:site;s:s,aɪt:ite;~~aɪ~
saɪz:size;s:s,aɪz:ize;~~aɪ~
saʊθ:south;s:s,aʊθ:outh;~~aʊ~
saɪɛns:science;s:sc,aɪ:i,ɛns:ence;~~aɪ~ɛ~
saɪəntɪst:scientist;s:sc,aɪ:i,ənt:ent,ɪst:ist;~~aɪ~ə~ɪ~
saɪɛntɪsts:scientist's;s:sc,aɪ:i,ɛnt:ent,ɪsts:ist's;~~aɪ~ɛ~ɪ~
saɪəntɪsts:scientists;s:sc,aɪ:i,ənt:ent,ɪsts:ists;~~aɪ~ə~ɪ~
saɪkɪætɹɪk:psychiatric;s:ps,aɪk:ych,ɪ:i,ætɹ:atr,ɪk:ic;~~aɪ~ɪ~æ~ɪ~
saɪəntɪfɪk:scientific;s:sc,aɪ:i,ənt:ent,ɪf:if,ɪk:ic;~~aɪ~ə~ɪ~ɪ~
seɪ:say;s:s,eɪ:ay;~~eɪ~
seɪf:safe;s:s,eɪf:afe;~~eɪ~
seɪftɪ:safety;s:s,eɪft:afet,ɪ:y;~~eɪ~ɪ~
seɪk:sake;s:s,eɪk:ake;~~eɪ~
seɪkɹɪd:sacred;s:s,eɪkɹ:acr,ɪd:ed;~~eɪ~ɪ~
seɪl:sale;s:s,eɪl:ale;~~eɪ~
seɪl:sail;s:s,eɪl:ail;~~eɪ~
seɪlz:sales;s:s,eɪlz:ales;~~eɪ~
seɪlzmən:salesman;s:s,eɪlzm:alesm,ən:an;~~eɪ~ə~
seɪləɹ:sailor;s:s,eɪl:ail,əɹ:or;~~eɪ~ə~
seɪm:same;s:s,eɪm:ame;~~eɪ~
seɪv:save;s:s,eɪv:ave;~~eɪ~
seɪɪŋ:saying;s:s,eɪ:ay,ɪŋ:ing;~~eɪ~ɪ~
sfɪɹɔɪd:spheroid;sf:sph,ɪɹ:er,ɔɪd:oid;~~ɪ~ɔɪ~
si:sea;s:s,i:ea;~~i~
si:see;s:s,i:ee;~~i~
sibɛɹɪ:seaberry;s:s,ib:eab,ɛɹ:err,ɪ:y;~~i~ɛ~ɪ~
sid:seed;s:s,id:eed;~~i~
sik:seek;s:s,ik:eek;~~i~
sikɹəsɪ:secrecy;s:s,ikɹ:ecr,əs:ec,ɪ:y;~~i~ə~ɪ~
sikɹət:secret;s:s,ikɹ:ecr,ət:et;~~i~ə~
siləkænθ:coelacanth;s:c,il:oel,ək:ac,ænθ:anth;~~i~ə~æ~
sim:seem;s:s,im:eem;~~i~
simz:seems;s:s,imz:eems;~~i~
sin:scene;s:sc,in:ene;~~i~
sin:seen;s:s,in:een;~~i~
sinəɹɪ:scenery;s:sc,in:en,əɹ:er,ɪ:y;~~i~ə~ɪ~
sit:seat;s:s,it:eat;~~i~
siwʊlf:seawolf;s:s,iw:e,ʊlf:awolf;~~i~ʊ~
siz:seize;s:s,iz:eize;~~i~
sizən:season;s:s,iz:eas,ən:on;~~i~ə~
siɪŋ:seeing;s:s,i:ee,ɪŋ:ing;~~i~ɪ~
skætəɹ:scatter;sk:sc,æt:att,əɹ:er;~~æ~ə~
skændɪneɪvɪən:scandinavian;sk:sc,ænd:and,ɪn:in,eɪv:av,ɪ:i,ən:an;~~æ~ɪ~eɪ~ɪ~ə~
skaɪ:sky;sk:sk,aɪ:y;~~aɪ~
skeɪl:scale;sk:sc,eɪl:ale;~~eɪ~
sklɪɹədɜɹmə:scleroderma;skl:scl,ɪɹ:er,əd:od,ɜɹm:erm,ə:a;~~ɪ~ə~ɜ~ə~
skoʊld:scold;sk:sc,oʊld:old;~~oʊ~
skul:school;sk:sch,ul:ool;~~u~
skulz:schools;sk:sch,ulz:ools;~~u~
skwɔlz:squalls;skw:squ,ɔlz:alls;~~ɔ~
skwɑndəɹ:squander;skw:squ,ɑnd:and,əɹ:er;~~ɑ~ə~
skwɛə:square;skw:squ,ɛ:a,ə:re;~~ɛ~ə~
skɛdʒul:schedule;sk:sch,ɛdʒ:ed,ul:ule;~~ɛ~u~
skɪlfəl:skillful;sk:sk,ɪl:ill,f:f,əl:ul;~~ɪ~~ə~
skɪlnəs:skillness;sk:sk,ɪl:ill,n:n,əs:ess;~~ɪ~~ə~
skɪl:skill;sk:sk,ɪl:ill;~~ɪ~
skʌl:skull;sk:sk,ʌl:ull;~~ʌ~
skʌlptʃəɹəl:sculptural;sk:sc,ʌlptʃ:ulpt,əɹ:ur,əl:al;~~ʌ~ə~ə~
skɪlz:skills;sk:sk,ɪlz:ills;~~ɪ~
skɪn:skin;sk:sk,ɪn:in;~~ɪ~
skɔɹ:score;sk:sc,ɔɹ:ore;~~ɔ~
skɛəɹi:scary;sk:sc,ɛ:a,əɹ:r,i:y;~~ɛ~ə~i~
skɔɹn:scorn;sk:sc,ɔɹn:orn;~~ɔ~
skɛɹs:scarce;sk:sc,ɛɹs:arce;~~ɛ~
skɜɹt:skirt;sk:sk,ɜɹt:irt;~~ɜ~
skɹætʃ:scratch;skɹ:scr,ætʃ:atch;~~æ~
skɹeɪp:scrape;skɹ:scr,eɪp:ape;~~eɪ~
skɹin:screen;skɹ:scr,in:een;~~i~
skɹu:screw;skɹ:scr,u:ew;~~u~
skɹɪpts:scripts;skɹ:scr,ɪpts:ipts;~~ɪ~
slæʃt:slashed;sl:sl,æʃt:ashed;~~æ~
slaɪd:slide;sl:sl,aɪd:ide;~~aɪ~
slaɪt:slight;sl:sl,aɪt:ight;~~aɪ~
sleɪv:slave;sl:sl,eɪv:ave;~~eɪ~
sleɪvəɹɪ:slavery;sl:sl,eɪv:av,əɹ:er,ɪ:y;~~eɪ~ə~ɪ~
slip:sleep;sl:sl,ip:eep;~~i~
